"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 22 14:27:44 GMT 2024","Sat Jun 22 14:27:46 GMT 2024","1350","","users.spec.ts","Users test","","","Delete user",""
"passed","Sat Jun 22 14:27:44 GMT 2024","Sat Jun 22 14:27:45 GMT 2024","1723","","users.spec.ts","Users test","","","Update full user details",""
"passed","Sat Jun 22 14:27:44 GMT 2024","Sat Jun 22 14:27:46 GMT 2024","1879","","users.spec.ts","Users test","","","Retrieves user posts when user does not have any posts",""
"passed","Sat Jun 22 14:27:39 GMT 2024","Sat Jun 22 14:27:40 GMT 2024","920","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with 1223 status",""
"passed","Sat Jun 22 14:27:42 GMT 2024","Sat Jun 22 14:27:44 GMT 2024","1347","","users.spec.ts","Users test","","","Update only 1 user field",""
"passed","Sat Jun 22 14:27:39 GMT 2024","Sat Jun 22 14:27:40 GMT 2024","952","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with [object Object] status",""
"passed","Sat Jun 22 14:27:41 GMT 2024","Sat Jun 22 14:27:42 GMT 2024","1012","","schemaValidations.spec.ts","Schema validation tests","","","Posts schema validation",""
"passed","Sat Jun 22 14:27:44 GMT 2024","Sat Jun 22 14:27:47 GMT 2024","2562","","users.spec.ts","Users test","","","Retrieves user posts when user has some posts",""
"passed","Sat Jun 22 14:27:40 GMT 2024","Sat Jun 22 14:27:43 GMT 2024","2885","","posts.spec.ts","Posts test","","","Create post comments",""
"passed","Sat Jun 22 14:27:39 GMT 2024","Sat Jun 22 14:27:39 GMT 2024","515","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with Alice status",""
"passed","Sat Jun 22 14:27:39 GMT 2024","Sat Jun 22 14:27:40 GMT 2024","970","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with sdsd,sdsd status",""
"passed","Sat Jun 22 14:27:38 GMT 2024","Sat Jun 22 14:27:40 GMT 2024","2239","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with existing email",""
"passed","Sat Jun 22 14:27:42 GMT 2024","Sat Jun 22 14:27:42 GMT 2024","441","","schemaValidations.spec.ts","Schema validation tests","","","Todos schema validation",""
"passed","Sat Jun 22 14:27:38 GMT 2024","Sat Jun 22 14:27:39 GMT 2024","1232","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with wrong email: @",""
"passed","Sat Jun 22 14:27:43 GMT 2024","Sat Jun 22 14:27:45 GMT 2024","1993","","users.spec.ts","Users test","","","Create user post",""
"passed","Sat Jun 22 14:27:39 GMT 2024","Sat Jun 22 14:27:39 GMT 2024","404","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with @ status",""
"passed","Sat Jun 22 14:27:40 GMT 2024","Sat Jun 22 14:27:41 GMT 2024","991","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with   gender",""
"passed","Sat Jun 22 14:27:41 GMT 2024","Sat Jun 22 14:27:44 GMT 2024","3260","","posts.spec.ts","Posts test","","","Delete post",""
"passed","Sat Jun 22 14:27:40 GMT 2024","Sat Jun 22 14:27:41 GMT 2024","923","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Get  details of not existing user",""
"passed","Sat Jun 22 14:27:39 GMT 2024","Sat Jun 22 14:27:40 GMT 2024","1051","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with @ gender",""
"passed","Sat Jun 22 14:27:37 GMT 2024","Sat Jun 22 14:27:39 GMT 2024","1169","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with empty status",""
"passed","Sat Jun 22 14:27:38 GMT 2024","Sat Jun 22 14:27:39 GMT 2024","1373","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with wrong email: Alice",""
"passed","Sat Jun 22 14:27:43 GMT 2024","Sat Jun 22 14:27:45 GMT 2024","2179","","users.spec.ts","Users test","","","Create user todo",""
"passed","Sat Jun 22 14:27:39 GMT 2024","Sat Jun 22 14:27:40 GMT 2024","1010","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with Alice gender",""
"passed","Sat Jun 22 14:27:42 GMT 2024","Sat Jun 22 14:27:43 GMT 2024","1119","","users.spec.ts","Users test","","","Create user",""
"passed","Sat Jun 22 14:27:41 GMT 2024","Sat Jun 22 14:27:42 GMT 2024","999","","schemaValidations.spec.ts","Schema validation tests","","","Users schema validation",""
"passed","Sat Jun 22 14:27:40 GMT 2024","Sat Jun 22 14:27:41 GMT 2024","969","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Retrieve posts when user does not exist",""
"passed","Sat Jun 22 14:27:41 GMT 2024","Sat Jun 22 14:27:44 GMT 2024","3403","","posts.spec.ts","Posts test","","","Get post comments",""
"failed","Sat Jun 22 14:27:40 GMT 2024","Sat Jun 22 14:27:42 GMT 2024","2098","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Update only 1 user field using put method",""
"passed","Sat Jun 22 14:27:38 GMT 2024","Sat Jun 22 14:27:39 GMT 2024","1242","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with empty email",""
"passed","Sat Jun 22 14:27:41 GMT 2024","Sat Jun 22 14:27:42 GMT 2024","1011","","schemaValidations.spec.ts","Schema validation tests","","","Comments schema validation",""
"passed","Sat Jun 22 14:27:40 GMT 2024","Sat Jun 22 14:27:41 GMT 2024","1014","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Delete not existing user",""
"passed","Sat Jun 22 14:27:37 GMT 2024","Sat Jun 22 14:27:39 GMT 2024","1224","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with wrong email: 1223",""
"passed","Sat Jun 22 14:27:39 GMT 2024","Sat Jun 22 14:27:40 GMT 2024","945","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with 1223 gender",""
"passed","Sat Jun 22 14:27:40 GMT 2024","Sat Jun 22 14:27:41 GMT 2024","951","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with женский gender",""
"passed","Sat Jun 22 14:27:38 GMT 2024","Sat Jun 22 14:27:39 GMT 2024","1467","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with empty name",""
"passed","Sat Jun 22 14:27:42 GMT 2024","Sat Jun 22 14:27:44 GMT 2024","1863","","users.spec.ts","Users test","","","Get user details",""
