"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 22 14:33:19 GMT 2024","Sat Jun 22 14:33:20 GMT 2024","926","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with @ gender",""
"passed","Sat Jun 22 14:33:22 GMT 2024","Sat Jun 22 14:33:23 GMT 2024","1374","","users.spec.ts","Users test","","","Get user details",""
"passed","Sat Jun 22 14:33:17 GMT 2024","Sat Jun 22 14:33:19 GMT 2024","1236","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with empty email",""
"passed","Sat Jun 22 14:33:19 GMT 2024","Sat Jun 22 14:33:20 GMT 2024","895","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with [object Object] status",""
"passed","Sat Jun 22 14:33:19 GMT 2024","Sat Jun 22 14:33:20 GMT 2024","980","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with 1223 gender",""
"passed","Sat Jun 22 14:33:19 GMT 2024","Sat Jun 22 14:33:20 GMT 2024","902","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with женский gender",""
"passed","Sat Jun 22 14:33:23 GMT 2024","Sat Jun 22 14:33:25 GMT 2024","1905","","users.spec.ts","Users test","","","Retrieves user posts when user does not have any posts",""
"failed","Sat Jun 22 14:33:20 GMT 2024","Sat Jun 22 14:33:22 GMT 2024","2150","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Update only 1 user field using put method",""
"passed","Sat Jun 22 14:33:23 GMT 2024","Sat Jun 22 14:33:25 GMT 2024","1996","","users.spec.ts","Users test","","","Create user todo",""
"passed","Sat Jun 22 14:33:19 GMT 2024","Sat Jun 22 14:33:19 GMT 2024","428","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with 1223 status",""
"passed","Sat Jun 22 14:33:21 GMT 2024","Sat Jun 22 14:33:22 GMT 2024","889","","schemaValidations.spec.ts","Schema validation tests","","","Posts schema validation",""
"passed","Sat Jun 22 14:33:19 GMT 2024","Sat Jun 22 14:33:19 GMT 2024","402","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with Alice status",""
"passed","Sat Jun 22 14:33:24 GMT 2024","Sat Jun 22 14:33:27 GMT 2024","2950","","users.spec.ts","Users test","","","Retrieves user posts when user has some posts",""
"passed","Sat Jun 22 14:33:23 GMT 2024","Sat Jun 22 14:33:25 GMT 2024","1949","","users.spec.ts","Users test","","","Create user post",""
"passed","Sat Jun 22 14:33:19 GMT 2024","Sat Jun 22 14:33:20 GMT 2024","961","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with @ status",""
"passed","Sat Jun 22 14:33:22 GMT 2024","Sat Jun 22 14:33:23 GMT 2024","1041","","users.spec.ts","Users test","","","Create user",""
"passed","Sat Jun 22 14:33:18 GMT 2024","Sat Jun 22 14:33:19 GMT 2024","1136","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with wrong email: 1223",""
"passed","Sat Jun 22 14:33:17 GMT 2024","Sat Jun 22 14:33:19 GMT 2024","1280","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with empty status",""
"passed","Sat Jun 22 14:33:20 GMT 2024","Sat Jun 22 14:33:23 GMT 2024","2902","","posts.spec.ts","Posts test","","","Create post comments",""
"passed","Sat Jun 22 14:33:22 GMT 2024","Sat Jun 22 14:33:23 GMT 2024","987","","schemaValidations.spec.ts","Schema validation tests","","","Todos schema validation",""
"passed","Sat Jun 22 14:33:21 GMT 2024","Sat Jun 22 14:33:22 GMT 2024","1182","","schemaValidations.spec.ts","Schema validation tests","","","Comments schema validation",""
"passed","Sat Jun 22 14:33:23 GMT 2024","Sat Jun 22 14:33:25 GMT 2024","2065","","users.spec.ts","Users test","","","Update only 1 user field",""
"passed","Sat Jun 22 14:33:20 GMT 2024","Sat Jun 22 14:33:21 GMT 2024","928","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Get  details of not existing user",""
"passed","Sat Jun 22 14:33:18 GMT 2024","Sat Jun 22 14:33:19 GMT 2024","1261","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with wrong email: @",""
"passed","Sat Jun 22 14:33:19 GMT 2024","Sat Jun 22 14:33:20 GMT 2024","908","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with Alice gender",""
"passed","Sat Jun 22 14:33:18 GMT 2024","Sat Jun 22 14:33:19 GMT 2024","1527","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with existing email",""
